/home/vkonuru/.conda/envs/cleanRL/lib/python3.9/site-packages/torch/utils/tensorboard/__init__.py:4: DeprecationWarning: distutils Version classes are deprecated. Use packaging.version instead.
  if not hasattr(tensorboard, "__version__") or LooseVersion(
/home/vkonuru/.conda/envs/cleanRL/lib/python3.9/site-packages/torch/utils/tensorboard/__init__.py:6: DeprecationWarning: distutils Version classes are deprecated. Use packaging.version instead.
  ) < LooseVersion("1.15"):
/home/vkonuru/.conda/envs/cleanRL/lib/python3.9/site-packages/gymnasium/utils/passive_env_checker.py:164: UserWarning: [33mWARN: The obs returned by the `reset()` method was expecting numpy array dtype to be <class 'numpy.float32'>, actual type: float64[0m
  logger.warn(
/home/vkonuru/.conda/envs/cleanRL/lib/python3.9/site-packages/gymnasium/utils/passive_env_checker.py:188: UserWarning: [33mWARN: The obs returned by the `reset()` method is not within the observation space.[0m
  logger.warn(f"{pre} is not within the observation space.")
/home/vkonuru/.conda/envs/cleanRL/lib/python3.9/site-packages/gymnasium/utils/passive_env_checker.py:164: UserWarning: [33mWARN: The obs returned by the `step()` method was expecting numpy array dtype to be <class 'numpy.float32'>, actual type: float64[0m
  logger.warn(
/home/vkonuru/.conda/envs/cleanRL/lib/python3.9/site-packages/gymnasium/utils/passive_env_checker.py:188: UserWarning: [33mWARN: The obs returned by the `step()` method is not within the observation space.[0m
  logger.warn(f"{pre} is not within the observation space.")
Device: cpu
global_step=18951, episodic_return=[171.34596]
SPS: 272
global_step=19036, episodic_return=[167.96376]
SPS: 272
global_step=19121, episodic_return=[169.43245]
SPS: 272
global_step=19206, episodic_return=[168.69783]
global_step=19291, episodic_return=[165.56258]
SPS: 272
global_step=19375, episodic_return=[164.79012]
SPS: 272
global_step=19461, episodic_return=[171.72665]
SPS: 272
global_step=19545, episodic_return=[169.08609]
SPS: 272
global_step=19628, episodic_return=[163.67018]
SPS: 272
global_step=19714, episodic_return=[169.98875]
global_step=19798, episodic_return=[171.42589]
SPS: 272
global_step=19882, episodic_return=[169.95486]
SPS: 272
global_step=19967, episodic_return=[169.90634]
SPS: 272
global_step=20053, episodic_return=[171.0662]
SPS: 272
global_step=20138, episodic_return=[168.3436]
SPS: 272
global_step=20224, episodic_return=[172.21402]
SPS: 272
global_step=20309, episodic_return=[168.48857]
global_step=20395, episodic_return=[169.38934]
SPS: 272
global_step=20480, episodic_return=[170.0394]
SPS: 272
global_step=20566, episodic_return=[170.69371]
SPS: 272
global_step=20652, episodic_return=[169.70184]
SPS: 272
global_step=20736, episodic_return=[164.03001]
SPS: 272
global_step=20822, episodic_return=[168.73392]
SPS: 272
global_step=20908, episodic_return=[166.70065]
global_step=20994, episodic_return=[168.44543]
SPS: 272
global_step=21079, episodic_return=[166.68233]
SPS: 272
global_step=21162, episodic_return=[161.1621]
SPS: 272
global_step=21248, episodic_return=[168.04637]
SPS: 272
global_step=21334, episodic_return=[168.60388]
SPS: 272
global_step=21419, episodic_return=[166.31674]
SPS: 272
global_step=21503, episodic_return=[164.54668]
global_step=21588, episodic_return=[166.97525]
SPS: 272
global_step=21673, episodic_return=[167.24596]
SPS: 272
global_step=21759, episodic_return=[168.51227]
SPS: 272
global_step=21844, episodic_return=[168.04202]
SPS: 272
global_step=21930, episodic_return=[171.14914]
SPS: 272
global_step=22016, episodic_return=[169.65785]
SPS: 272
global_step=22102, episodic_return=[169.37524]
global_step=22188, episodic_return=[169.12595]
SPS: 273
global_step=22273, episodic_return=[170.11438]
SPS: 273
global_step=22358, episodic_return=[166.25526]
SPS: 273
global_step=22443, episodic_return=[168.08968]
SPS: 273
global_step=22528, episodic_return=[170.943]
SPS: 273
global_step=22614, episodic_return=[167.95584]
global_step=22700, episodic_return=[167.96469]
SPS: 273
global_step=22785, episodic_return=[167.73524]
SPS: 273
global_step=22870, episodic_return=[167.97748]
SPS: 273
global_step=22955, episodic_return=[166.43962]
SPS: 273
global_step=23040, episodic_return=[167.17833]
SPS: 273
global_step=23125, episodic_return=[168.63422]
SPS: 273
global_step=23211, episodic_return=[169.3253]
global_step=23297, episodic_return=[167.96608]
SPS: 273
global_step=23383, episodic_return=[167.87631]
SPS: 273
global_step=23468, episodic_return=[168.58757]
SPS: 273
global_step=23553, episodic_return=[170.48445]
SPS: 273
global_step=23638, episodic_return=[169.32631]
SPS: 273
global_step=23723, episodic_return=[167.37955]
SPS: 273
global_step=23808, episodic_return=[171.76543]
global_step=23894, episodic_return=[168.89798]
SPS: 273
global_step=23981, episodic_return=[170.73306]
SPS: 273
global_step=24067, episodic_return=[170.51346]
SPS: 273
global_step=24153, episodic_return=[167.86206]
SPS: 273
